acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.983,0.519,0.256,0.0001,0.103,0.7558,0.118,0.5363,0.295,1930
0.856,0.679,0.208,0.0,0.176,0.6462,0.958,0.3833,0.397,1930
0.784,0.622,0.484,0.767,0.0703,0.792,0.0271,0.4421,0.371,1930
0.643,0.551,0.343,0.0048,0.081,0.6594,0.108,0.4574,0.731,1930
0.723,0.523,0.31,0.0197,0.115,0.7728,0.0302,0.5486,0.289,1930
0.894,0.526,0.287,0.315,0.468,0.6826,0.0789,0.3741,0.59,1930
0.993,0.725,0.439,0.311,0.342,0.7581,0.0456,0.4286,0.909,1930
0.671,0.697,0.216,0.0001,0.129,0.638,0.933,0.4318,0.537,1930
0.932,0.555,0.627,0.925,0.326,0.8269,0.0354,0.4554,0.86,1930
0.903,0.548,0.287,0.0075,0.123,0.7042,0.0695,0.6216,0.733,1930
0.705,0.654,0.219,0.0,0.147,0.6679,0.956,0.3789,0.355,1930
0.531,0.726,0.435,0.861,0.0783,0.703,0.0713,0.3886,0.789,1930
0.909,0.335,0.173,0.928,0.124,0.5755,0.0464,0.4413,0.209,1930
0.907,0.336,0.332,0.0,0.308,0.7372,0.0329,0.3615,0.432,1930
0.733,0.623,0.205,0.0,0.152,0.6361,0.964,0.3236,0.522,1930
0.939,0.127,0.258,0.75,0.369,0.7096,0.0326,0.2919,0.17,1930
0.306,0.671,0.114,0.0,0.379,0.657,0.923,0.6183,0.83,1930
0.447,0.68,0.203,0.0,0.126,0.7169,0.918,0.3485,0.684,1930
0.993,0.403,0.316,0.0255,0.448,0.7132,0.0472,0.4778,0.285,1930
0.661,0.621,0.162,0.0,0.432,0.7017,0.944,0.7375,0.619,1930
0.995,0.549,0.256,0.0089,0.295,0.7502,0.147,0.473,0.381,1930
0.385,0.268,0.493,0.735,0.452,0.8095,0.0354,0.7238,0.551,1930
0.987,0.464,0.148,0.47,0.0981,0.6848,0.0406,0.2888,0.324,1930
0.968,0.481,0.121,0.522,0.339,0.6865,0.046,0.343,0.465,1930
0.996,0.5,0.126,0.59,0.242,0.6764,0.109,0.786,0.456,1930
0.922,0.426,0.223,0.614,0.259,0.7022,0.0485,0.4969,0.353,1930
0.753,0.716,0.202,0.0,0.117,0.6545,0.953,0.5179,0.545,1930
0.995,0.577,0.195,0.843,0.197,0.7148,0.102,0.8648,0.637,1930
0.904,0.433,0.459,0.786,0.108,0.8079,0.0418,0.6342,0.726,1930
0.511,0.402,0.44,0.888,0.538,0.7468,0.0357,0.4752,0.657,1930
0.962,0.567,0.393,0.0,0.0844,0.7268,0.128,0.3239,0.897,1930
0.733,0.664,0.19,0.0,0.194,0.6058,0.958,0.3816,0.512,1930
0.947,0.25,0.181,0.0776,0.274,0.6637,0.0436,0.543,0.141,1930
0.526,0.719,0.158,0.0,0.113,0.6739,0.893,0.4513,0.849,1930
0.312,0.786,0.111,0.0,0.274,0.6613,0.903,0.4231,0.692,1930
0.674,0.717,0.247,0.0,0.476,0.6912,0.954,0.5275,0.489,1930
0.968,0.589,0.383,0.042,0.165,0.7795,0.34,0.3381,0.719,1930
0.987,0.278,0.529,0.0003,0.673,0.6037,0.589,0.8322,0.838,1930
0.981,0.602,0.488,0.0031,0.167,0.7769,0.0472,0.6192,0.621,1930
0.988,0.626,0.052,0.0,0.107,0.63,0.087,0.351,0.354,1930
0.416,0.72,0.169,0.0,0.114,0.674,0.911,0.5173,0.758,1930
0.598,0.634,0.208,0.0,0.449,0.637,0.961,0.3501,0.466,1930
0.991,0.379,0.177,0.0,0.164,0.7368,0.0426,0.4558,0.173,1930
0.294,0.69,0.211,0.0,0.41,0.7179,0.893,0.4084,0.674,1930
0.166,0.725,0.137,0.0,0.332,0.6442,0.943,0.5133,0.73,1930
0.969,0.249,0.0862,0.385,0.18,0.619,0.0366,0.298,0.209,1930
0.958,0.307,0.0801,0.0409,0.367,0.662,0.0421,0.3092,0.313,1930
0.856,0.373,0.219,0.224,0.292,0.6954,0.0681,0.5199,0.428,1930
0.774,0.286,0.118,0.677,0.103,0.6557,0.0338,0.4913,0.27,1930
0.901,0.244,0.187,0.924,0.0904,0.6614,0.035,0.4077,0.175,1930
0.978,0.324,0.339,0.875,0.138,0.7158,0.0491,0.4119,0.242,1930
0.912,0.407,0.314,0.668,0.091,0.65,0.107,0.3316,0.338,1930
0.961,0.361,0.158,0.87,0.141,0.7526,0.0326,0.311,0.173,1930
0.992,0.288,0.363,0.805,0.223,0.765,0.0376,0.278,0.241,1930
0.964,0.243,0.104,0.744,0.106,0.6707,0.0386,0.3024,0.0873,1930
0.934,0.234,0.408,0.686,0.117,0.7854,0.0368,0.5546,0.103,1930
0.978,0.133,0.0648,0.864,0.106,0.6388,0.0391,0.3158,0.037,1930
0.887,0.31,0.211,0.858,0.132,0.6707,0.0541,0.3761,0.212,1930
0.99,0.435,0.29,0.851,0.135,0.685,0.0527,0.5104,0.292,1930
0.5,0.258,0.258,0.861,0.0761,0.6846,0.0347,0.6285,0.315,1930
0.76,0.376,0.25,0.389,0.0893,0.7295,0.0451,0.4541,0.267,1930
0.857,0.209,0.211,0.817,0.0947,0.7629,0.0354,0.2759,0.21,1930
0.871,0.158,0.0746,0.0452,0.14,0.6411,0.0464,0.2972,0.0736,1930
0.961,0.115,0.0492,0.658,0.118,0.5632,0.0459,0.3412,0.0559,1930
0.897,0.27,0.251,0.907,0.151,0.699,0.0362,0.6249,0.393,1930
0.995,0.282,0.373,0.805,0.256,0.7599,0.0419,0.2939,0.0842,1930
0.896,0.371,0.328,0.882,0.335,0.7203,0.0456,0.5775,0.481,1930
0.975,0.14,0.0777,0.897,0.104,0.6651,0.0351,0.2875,0.101,1930
0.911,0.394,0.0784,0.654,0.114,0.6218,0.0369,0.5255,0.364,1930
0.979,0.458,0.75,0.516,0.256,0.8062,0.206,0.2893,0.296,1930
0.836,0.313,0.183,0.48,0.0856,0.7341,0.0421,0.5872,0.235,1930
0.76,0.35,0.229,0.74,0.0968,0.6537,0.0384,0.5774,0.338,1930
0.646,0.289,0.326,0.919,0.0837,0.706,0.0375,0.3066,0.349,1930
0.986,0.544,0.0949,0.0039,0.612,0.7112,0.17,0.4017,0.326,1930
0.966,0.139,0.0934,0.931,0.0999,0.663,0.0418,0.2594,0.127,1930
0.991,0.295,0.396,0.162,0.0892,0.8327,0.0398,0.5324,0.259,1930
0.958,0.329,0.407,0.849,0.0761,0.7022,0.0541,0.556,0.382,1930
0.796,0.318,0.136,0.467,0.0939,0.6604,0.0351,0.3791,0.185,1930
